"vol","date","hand","1","2","3","4","5","cont2","cont3","cont4"
73,"1993-03-07","グー","グー","パー","グー","チョキ","グー",FALSE,FALSE,FALSE
74,"1993-03-14","チョキ","グー","グー","パー","グー","チョキ",TRUE,FALSE,FALSE
75,"1993-03-21","パー","チョキ","グー","グー","パー","グー",TRUE,FALSE,FALSE
76,"1993-03-28","チョキ","パー","チョキ","グー","グー","パー",TRUE,FALSE,FALSE
77,"1993-04-04","パー","チョキ","パー","チョキ","グー","グー",TRUE,FALSE,FALSE
78,"1993-04-11","パー","パー","チョキ","パー","チョキ","グー",FALSE,FALSE,FALSE
79,"1993-04-18","グー","パー","パー","チョキ","パー","チョキ",TRUE,FALSE,FALSE
80,"1993-04-25","チョキ","グー","パー","パー","チョキ","パー",TRUE,FALSE,FALSE
81,"1993-05-02","グー","チョキ","グー","パー","パー","チョキ",TRUE,FALSE,FALSE
82,"1993-05-09","チョキ","グー","チョキ","グー","パー","パー",TRUE,FALSE,FALSE
83,"1993-05-16","チョキ","チョキ","グー","チョキ","グー","パー",FALSE,FALSE,FALSE
84,"1993-05-23","パー","チョキ","チョキ","グー","チョキ","グー",TRUE,FALSE,FALSE
85,"1993-05-30","パー","パー","チョキ","チョキ","グー","チョキ",TRUE,FALSE,FALSE
86,"1993-06-06","チョキ","パー","パー","チョキ","チョキ","グー",TRUE,FALSE,FALSE
87,"1993-06-13","グー","チョキ","パー","パー","チョキ","チョキ",TRUE,FALSE,FALSE
88,"1993-06-20","グー","グー","チョキ","パー","パー","チョキ",TRUE,FALSE,FALSE
89,"1993-06-27","グー","グー","グー","チョキ","パー","パー",TRUE,FALSE,FALSE
90,"1993-07-04","グー","グー","グー","グー","チョキ","パー",TRUE,TRUE,FALSE
91,"1993-07-11","チョキ","グー","グー","グー","グー","チョキ",TRUE,TRUE,TRUE
92,"1993-07-18","パー","チョキ","グー","グー","グー","グー",TRUE,TRUE,TRUE
94,"1993-08-01","グー","パー","チョキ","グー","グー","グー",TRUE,TRUE,FALSE
95,"1993-08-08","チョキ","グー","パー","チョキ","グー","グー",TRUE,FALSE,FALSE
96,"1993-08-15","グー","チョキ","グー","パー","チョキ","グー",FALSE,FALSE,FALSE
97,"1993-08-22","パー","グー","チョキ","グー","パー","チョキ",FALSE,FALSE,FALSE
98,"1993-08-29","チョキ","パー","グー","チョキ","グー","パー",FALSE,FALSE,FALSE
99,"1993-09-05","チョキ","チョキ","パー","グー","チョキ","グー",FALSE,FALSE,FALSE
100,"1993-09-12","パー","チョキ","チョキ","パー","グー","チョキ",TRUE,FALSE,FALSE
101,"1993-09-19","グー","パー","チョキ","チョキ","パー","グー",TRUE,FALSE,FALSE
102,"1993-09-26","グー","グー","パー","チョキ","チョキ","パー",TRUE,FALSE,FALSE
103,"1993-10-03","チョキ","グー","グー","パー","チョキ","チョキ",TRUE,FALSE,FALSE
104,"1993-10-10","パー","チョキ","グー","グー","パー","チョキ",TRUE,FALSE,FALSE
105,"1993-10-17","グー","パー","チョキ","グー","グー","パー",TRUE,FALSE,FALSE
106,"1993-10-24","グー","グー","パー","チョキ","グー","グー",TRUE,FALSE,FALSE
107,"1993-10-31","パー","グー","グー","パー","チョキ","グー",TRUE,FALSE,FALSE
108,"1993-11-07","チョキ","パー","グー","グー","パー","チョキ",TRUE,FALSE,FALSE
109,"1993-11-14","チョキ","チョキ","パー","グー","グー","パー",TRUE,FALSE,FALSE
110,"1993-11-21","パー","チョキ","チョキ","パー","グー","グー",TRUE,FALSE,FALSE
111,"1993-11-28","グー","パー","チョキ","チョキ","パー","グー",TRUE,FALSE,FALSE
112,"1993-12-05","パー","グー","パー","チョキ","チョキ","パー",TRUE,FALSE,FALSE
113,"1993-12-12","チョキ","パー","グー","パー","チョキ","チョキ",TRUE,FALSE,FALSE
114,"1993-12-19","グー","チョキ","パー","グー","パー","チョキ",FALSE,FALSE,FALSE
115,"1993-12-26","グー","グー","チョキ","パー","グー","パー",FALSE,FALSE,FALSE
116,"1994-01-02","パー","グー","グー","チョキ","パー","グー",TRUE,FALSE,FALSE
117,"1994-01-09","グー","パー","グー","グー","チョキ","パー",TRUE,FALSE,FALSE
118,"1994-01-16","チョキ","グー","パー","グー","グー","チョキ",TRUE,FALSE,FALSE
119,"1994-01-23","グー","チョキ","グー","パー","グー","グー",TRUE,FALSE,FALSE
120,"1994-01-30","チョキ","グー","チョキ","グー","パー","グー",FALSE,FALSE,FALSE
121,"1994-02-06","パー","チョキ","グー","チョキ","グー","パー",FALSE,FALSE,FALSE
122,"1994-02-13","パー","パー","チョキ","グー","チョキ","グー",FALSE,FALSE,FALSE
123,"1994-02-20","チョキ","パー","パー","チョキ","グー","チョキ",TRUE,FALSE,FALSE
124,"1994-02-27","グー","チョキ","パー","パー","チョキ","グー",TRUE,FALSE,FALSE
125,"1994-03-06","グー","グー","チョキ","パー","パー","チョキ",TRUE,FALSE,FALSE
126,"1994-03-13","パー","グー","グー","チョキ","パー","パー",TRUE,FALSE,FALSE
127,"1994-03-20","パー","パー","グー","グー","チョキ","パー",TRUE,FALSE,FALSE
128,"1994-03-27","チョキ","パー","パー","グー","グー","チョキ",TRUE,FALSE,FALSE
129,"1994-04-03","チョキ","チョキ","パー","パー","グー","グー",TRUE,FALSE,FALSE
130,"1994-04-10","パー","チョキ","チョキ","パー","パー","グー",TRUE,FALSE,FALSE
131,"1994-04-17","グー","パー","チョキ","チョキ","パー","パー",TRUE,FALSE,FALSE
132,"1994-04-24","チョキ","グー","パー","チョキ","チョキ","パー",TRUE,FALSE,FALSE
133,"1994-05-01","グー","チョキ","グー","パー","チョキ","チョキ",TRUE,FALSE,FALSE
134,"1994-05-08","パー","グー","チョキ","グー","パー","チョキ",FALSE,FALSE,FALSE
135,"1994-05-15","パー","パー","グー","チョキ","グー","パー",FALSE,FALSE,FALSE
136,"1994-05-22","チョキ","パー","パー","グー","チョキ","グー",TRUE,FALSE,FALSE
137,"1994-05-29","グー","チョキ","パー","パー","グー","チョキ",TRUE,FALSE,FALSE
138,"1994-06-05","チョキ","グー","チョキ","パー","パー","グー",TRUE,FALSE,FALSE
139,"1994-06-12","パー","チョキ","グー","チョキ","パー","パー",TRUE,FALSE,FALSE
140,"1994-06-19","チョキ","パー","チョキ","グー","チョキ","パー",FALSE,FALSE,FALSE
141,"1994-06-26","グー","チョキ","パー","チョキ","グー","チョキ",FALSE,FALSE,FALSE
142,"1994-07-03","パー","グー","チョキ","パー","チョキ","グー",FALSE,FALSE,FALSE
143,"1994-07-10","チョキ","パー","グー","チョキ","パー","チョキ",FALSE,FALSE,FALSE
144,"1994-07-17","チョキ","チョキ","パー","グー","チョキ","パー",FALSE,FALSE,FALSE
146,"1994-07-31","パー","チョキ","チョキ","パー","グー","チョキ",TRUE,FALSE,FALSE
147,"1994-08-07","グー","パー","チョキ","チョキ","パー","グー",TRUE,FALSE,FALSE
148,"1994-08-14","グー","グー","パー","チョキ","チョキ","パー",TRUE,FALSE,FALSE
149,"1994-08-21","チョキ","グー","グー","パー","チョキ","チョキ",TRUE,FALSE,FALSE
150,"1994-08-28","パー","チョキ","グー","グー","パー","チョキ",TRUE,FALSE,FALSE
151,"1994-09-04","グー","パー","チョキ","グー","グー","パー",TRUE,FALSE,FALSE
152,"1994-09-11","パー","グー","パー","チョキ","グー","グー",TRUE,FALSE,FALSE
153,"1994-09-18","チョキ","パー","グー","パー","チョキ","グー",FALSE,FALSE,FALSE
154,"1994-09-25","グー","チョキ","パー","グー","パー","チョキ",FALSE,FALSE,FALSE
155,"1994-10-02","グー","グー","チョキ","パー","グー","パー",FALSE,FALSE,FALSE
156,"1994-10-09","パー","グー","グー","チョキ","パー","グー",TRUE,FALSE,FALSE
157,"1994-10-23","パー","パー","グー","グー","チョキ","パー",TRUE,FALSE,FALSE
158,"1994-10-30","チョキ","パー","パー","グー","グー","チョキ",TRUE,FALSE,FALSE
159,"1994-11-06","グー","チョキ","パー","パー","グー","グー",TRUE,FALSE,FALSE
160,"1994-11-13","チョキ","グー","チョキ","パー","パー","グー",TRUE,FALSE,FALSE
161,"1994-11-20","パー","チョキ","グー","チョキ","パー","パー",TRUE,FALSE,FALSE
162,"1994-11-27","チョキ","パー","チョキ","グー","チョキ","パー",FALSE,FALSE,FALSE
163,"1994-12-04","グー","チョキ","パー","チョキ","グー","チョキ",FALSE,FALSE,FALSE
164,"1994-12-11","パー","グー","チョキ","パー","チョキ","グー",FALSE,FALSE,FALSE
165,"1994-12-18","グー","パー","グー","チョキ","パー","チョキ",FALSE,FALSE,FALSE
166,"1994-12-25","パー","グー","パー","グー","チョキ","パー",FALSE,FALSE,FALSE
168,"1995-01-08","チョキ","パー","グー","パー","グー","チョキ",FALSE,FALSE,FALSE
169,"1995-01-15","グー","チョキ","パー","グー","パー","グー",FALSE,FALSE,FALSE
170,"1995-01-22","パー","グー","チョキ","パー","グー","パー",FALSE,FALSE,FALSE
171,"1995-01-29","グー","パー","グー","チョキ","パー","グー",FALSE,FALSE,FALSE
172,"1995-02-05","チョキ","グー","パー","グー","チョキ","パー",FALSE,FALSE,FALSE
173,"1995-02-12","チョキ","チョキ","グー","パー","グー","チョキ",FALSE,FALSE,FALSE
174,"1995-02-19","パー","チョキ","チョキ","グー","パー","グー",TRUE,FALSE,FALSE
175,"1995-02-26","チョキ","パー","チョキ","チョキ","グー","パー",TRUE,FALSE,FALSE
176,"1995-03-05","グー","チョキ","パー","チョキ","チョキ","グー",TRUE,FALSE,FALSE
177,"1995-03-12","パー","グー","チョキ","パー","チョキ","チョキ",TRUE,FALSE,FALSE
178,"1995-03-19","パー","パー","グー","チョキ","パー","チョキ",FALSE,FALSE,FALSE
179,"1995-03-26","チョキ","パー","パー","グー","チョキ","パー",TRUE,FALSE,FALSE
180,"1995-04-02","グー","チョキ","パー","パー","グー","チョキ",TRUE,FALSE,FALSE
181,"1995-04-09","パー","グー","チョキ","パー","パー","グー",TRUE,FALSE,FALSE
182,"1995-04-16","チョキ","パー","グー","チョキ","パー","パー",TRUE,FALSE,FALSE
183,"1995-04-23","グー","チョキ","パー","グー","チョキ","パー",FALSE,FALSE,FALSE
184,"1995-04-30","チョキ","グー","チョキ","パー","グー","チョキ",FALSE,FALSE,FALSE
185,"1995-05-07","パー","チョキ","グー","チョキ","パー","グー",FALSE,FALSE,FALSE
186,"1995-05-14","パー","パー","チョキ","グー","チョキ","パー",FALSE,FALSE,FALSE
187,"1995-05-21","チョキ","パー","パー","チョキ","グー","チョキ",TRUE,FALSE,FALSE
188,"1995-05-28","グー","チョキ","パー","パー","チョキ","グー",TRUE,FALSE,FALSE
189,"1995-06-04","グー","グー","チョキ","パー","パー","チョキ",TRUE,FALSE,FALSE
190,"1995-06-11","チョキ","グー","グー","チョキ","パー","パー",TRUE,FALSE,FALSE
191,"1995-06-18","パー","チョキ","グー","グー","チョキ","パー",TRUE,FALSE,FALSE
192,"1995-06-25","チョキ","パー","チョキ","グー","グー","チョキ",TRUE,FALSE,FALSE
193,"1995-07-02","グー","チョキ","パー","チョキ","グー","グー",TRUE,FALSE,FALSE
194,"1995-07-09","パー","グー","チョキ","パー","チョキ","グー",FALSE,FALSE,FALSE
195,"1995-07-16","パー","パー","グー","チョキ","パー","チョキ",FALSE,FALSE,FALSE
196,"1995-07-23","グー","パー","パー","グー","チョキ","パー",TRUE,FALSE,FALSE
197,"1995-07-30","チョキ","グー","パー","パー","グー","チョキ",TRUE,FALSE,FALSE
198,"1995-08-06","チョキ","チョキ","グー","パー","パー","グー",TRUE,FALSE,FALSE
199,"1995-08-13","グー","チョキ","チョキ","グー","パー","パー",TRUE,FALSE,FALSE
200,"1995-08-20","パー","グー","チョキ","チョキ","グー","パー",TRUE,FALSE,FALSE
201,"1995-08-27","チョキ","パー","グー","チョキ","チョキ","グー",TRUE,FALSE,FALSE
202,"1995-09-03","パー","チョキ","パー","グー","チョキ","チョキ",TRUE,FALSE,FALSE
203,"1995-09-10","パー","パー","チョキ","パー","グー","チョキ",FALSE,FALSE,FALSE
204,"1995-09-17","グー","パー","パー","チョキ","パー","グー",TRUE,FALSE,FALSE
205,"1995-09-24","チョキ","グー","パー","パー","チョキ","パー",TRUE,FALSE,FALSE
206,"1995-10-01","チョキ","チョキ","グー","パー","パー","チョキ",TRUE,FALSE,FALSE
207,"1995-10-08","パー","チョキ","チョキ","グー","パー","パー",TRUE,FALSE,FALSE
208,"1995-10-15","グー","パー","チョキ","チョキ","グー","パー",TRUE,FALSE,FALSE
209,"1995-10-22","グー","グー","パー","チョキ","チョキ","グー",TRUE,FALSE,FALSE
210,"1995-10-29","パー","グー","グー","パー","チョキ","チョキ",TRUE,FALSE,FALSE
211,"1995-11-05","チョキ","パー","グー","グー","パー","チョキ",TRUE,FALSE,FALSE
212,"1995-11-12","パー","チョキ","パー","グー","グー","パー",TRUE,FALSE,FALSE
213,"1995-11-19","グー","パー","チョキ","パー","グー","グー",TRUE,FALSE,FALSE
214,"1995-11-26","チョキ","グー","パー","チョキ","パー","グー",FALSE,FALSE,FALSE
215,"1995-12-03","チョキ","チョキ","グー","パー","チョキ","パー",FALSE,FALSE,FALSE
216,"1995-12-10","グー","チョキ","チョキ","グー","パー","チョキ",TRUE,FALSE,FALSE
217,"1995-12-17","パー","グー","チョキ","チョキ","グー","パー",TRUE,FALSE,FALSE
218,"1995-12-24","チョキ","パー","グー","チョキ","チョキ","グー",TRUE,FALSE,FALSE
219,"1995-12-31","パー","チョキ","パー","グー","チョキ","チョキ",TRUE,FALSE,FALSE
220,"1996-01-07","チョキ","パー","チョキ","パー","グー","チョキ",FALSE,FALSE,FALSE
221,"1996-01-14","グー","チョキ","パー","チョキ","パー","グー",FALSE,FALSE,FALSE
222,"1996-01-21","グー","グー","チョキ","パー","チョキ","パー",FALSE,FALSE,FALSE
223,"1996-01-28","パー","グー","グー","チョキ","パー","チョキ",TRUE,FALSE,FALSE
224,"1996-02-04","チョキ","パー","グー","グー","チョキ","パー",TRUE,FALSE,FALSE
225,"1996-02-11","パー","チョキ","パー","グー","グー","チョキ",TRUE,FALSE,FALSE
226,"1996-02-18","パー","パー","チョキ","パー","グー","グー",TRUE,FALSE,FALSE
227,"1996-02-25","グー","パー","パー","チョキ","パー","グー",TRUE,FALSE,FALSE
228,"1996-03-03","チョキ","グー","パー","パー","チョキ","パー",TRUE,FALSE,FALSE
229,"1996-03-10","チョキ","チョキ","グー","パー","パー","チョキ",TRUE,FALSE,FALSE
230,"1996-03-17","グー","チョキ","チョキ","グー","パー","パー",TRUE,FALSE,FALSE
231,"1996-03-24","パー","グー","チョキ","チョキ","グー","パー",TRUE,FALSE,FALSE
232,"1996-03-31","グー","パー","グー","チョキ","チョキ","グー",TRUE,FALSE,FALSE
233,"1996-04-07","チョキ","グー","パー","グー","チョキ","チョキ",TRUE,FALSE,FALSE
234,"1996-04-14","パー","チョキ","グー","パー","グー","チョキ",FALSE,FALSE,FALSE
235,"1996-04-21","パー","パー","チョキ","グー","パー","グー",FALSE,FALSE,FALSE
236,"1996-04-28","チョキ","パー","パー","チョキ","グー","パー",TRUE,FALSE,FALSE
237,"1996-05-05","グー","チョキ","パー","パー","チョキ","グー",TRUE,FALSE,FALSE
238,"1996-05-12","グー","グー","チョキ","パー","パー","チョキ",TRUE,FALSE,FALSE
239,"1996-05-19","チョキ","グー","グー","チョキ","パー","パー",TRUE,FALSE,FALSE
240,"1996-05-26","パー","チョキ","グー","グー","チョキ","パー",TRUE,FALSE,FALSE
241,"1996-06-02","チョキ","パー","チョキ","グー","グー","チョキ",TRUE,FALSE,FALSE
242,"1996-06-09","パー","チョキ","パー","チョキ","グー","グー",TRUE,FALSE,FALSE
243,"1996-06-16","グー","パー","チョキ","パー","チョキ","グー",FALSE,FALSE,FALSE
244,"1996-06-23","チョキ","グー","パー","チョキ","パー","チョキ",FALSE,FALSE,FALSE
245,"1996-06-30","グー","チョキ","グー","パー","チョキ","パー",FALSE,FALSE,FALSE
246,"1996-07-07","チョキ","グー","チョキ","グー","パー","チョキ",FALSE,FALSE,FALSE
247,"1996-07-14","チョキ","チョキ","グー","チョキ","グー","パー",FALSE,FALSE,FALSE
248,"1996-07-21","パー","チョキ","チョキ","グー","チョキ","グー",TRUE,FALSE,FALSE
249,"1996-07-28","グー","パー","チョキ","チョキ","グー","チョキ",TRUE,FALSE,FALSE
250,"1996-08-04","パー","グー","パー","チョキ","チョキ","グー",TRUE,FALSE,FALSE
251,"1996-08-11","パー","パー","グー","パー","チョキ","チョキ",TRUE,FALSE,FALSE
252,"1996-08-18","チョキ","パー","パー","グー","パー","チョキ",TRUE,FALSE,FALSE
253,"1996-08-25","チョキ","チョキ","パー","パー","グー","パー",TRUE,FALSE,FALSE
254,"1996-09-01","グー","チョキ","チョキ","パー","パー","グー",TRUE,FALSE,FALSE
255,"1996-09-08","パー","グー","チョキ","チョキ","パー","パー",TRUE,FALSE,FALSE
256,"1996-09-15","グー","パー","グー","チョキ","チョキ","パー",TRUE,FALSE,FALSE
257,"1996-09-22","グー","グー","パー","グー","チョキ","チョキ",TRUE,FALSE,FALSE
258,"1996-09-29","チョキ","グー","グー","パー","グー","チョキ",TRUE,FALSE,FALSE
260,"1996-10-13","パー","チョキ","グー","グー","パー","グー",TRUE,FALSE,FALSE
262,"1996-10-27","チョキ","パー","チョキ","グー","グー","パー",TRUE,FALSE,FALSE
263,"1996-11-03","グー","チョキ","パー","チョキ","グー","グー",TRUE,FALSE,FALSE
264,"1996-11-10","グー","グー","チョキ","パー","チョキ","グー",FALSE,FALSE,FALSE
265,"1996-11-17","パー","グー","グー","チョキ","パー","チョキ",TRUE,FALSE,FALSE
266,"1996-11-24","チョキ","パー","グー","グー","チョキ","パー",TRUE,FALSE,FALSE
267,"1996-12-01","パー","チョキ","パー","グー","グー","チョキ",TRUE,FALSE,FALSE
268,"1996-12-08","パー","パー","チョキ","パー","グー","グー",TRUE,FALSE,FALSE
269,"1996-12-15","グー","パー","パー","チョキ","パー","グー",TRUE,FALSE,FALSE
270,"1996-12-22","グー","グー","パー","パー","チョキ","パー",TRUE,FALSE,FALSE
271,"1996-12-29","チョキ","グー","グー","パー","パー","チョキ",TRUE,FALSE,FALSE
272,"1997-01-05","チョキ","チョキ","グー","グー","パー","パー",TRUE,FALSE,FALSE
273,"1997-01-12","グー","チョキ","チョキ","グー","グー","パー",TRUE,FALSE,FALSE
274,"1997-01-19","パー","グー","チョキ","チョキ","グー","グー",TRUE,FALSE,FALSE
275,"1997-01-26","チョキ","パー","グー","チョキ","チョキ","グー",TRUE,FALSE,FALSE
276,"1997-02-02","パー","チョキ","パー","グー","チョキ","チョキ",TRUE,FALSE,FALSE
277,"1997-02-09","グー","パー","チョキ","パー","グー","チョキ",FALSE,FALSE,FALSE
278,"1997-02-16","パー","グー","パー","チョキ","パー","グー",FALSE,FALSE,FALSE
279,"1997-02-23","チョキ","パー","グー","パー","チョキ","パー",FALSE,FALSE,FALSE
280,"1997-03-02","グー","チョキ","パー","グー","パー","チョキ",FALSE,FALSE,FALSE
281,"1997-03-09","チョキ","グー","チョキ","パー","グー","パー",FALSE,FALSE,FALSE
282,"1997-03-16","グー","チョキ","グー","チョキ","パー","グー",FALSE,FALSE,FALSE
283,"1997-03-23","パー","グー","チョキ","グー","チョキ","パー",FALSE,FALSE,FALSE
284,"1997-03-30","パー","パー","グー","チョキ","グー","チョキ",FALSE,FALSE,FALSE
285,"1997-04-06","チョキ","パー","パー","グー","チョキ","グー",TRUE,FALSE,FALSE
